NO_DECLARATION,DATE_DECLARATION,DATE_PRIOR_INSP,EXT_FREQ,DATE_FIRST_EXT,DATE_LAST_EXT,HOOD_NUM,HOOD_NAME,BORO_NAME,MTM8_X,MTM8_Y,LONGITUDE,LATITUDE,LONG_LAT,MTM_X_Y,DEC_MONTH,DEC_ISSUE,DATE_DIFF
3648,2012-08-28,2012-08-29,1,2012-08-29,2012-11-29,11,Parc-Extension,Villeray–Saint-Michel–Parc-Extension,294863.3,5042878.6,-73.627206,45.525754,-73.627206_45.525754,294863.3_5042878.6,8,1,-1
850,2011-09-19,2011-08-19,2,2011-08-08,2011-09-23,41,Édouard-Montpetit,Côte-des-Neiges–Notre-Dame-de-Grâce,294590.5,5039272.6,-73.630624,45.493302,-73.630624_45.493302,294590.5_5039272.6,9,1,31
1198,2011-10-19,2011-04-03,1,2011-04-03,2011-08-10,11,Parc-Extension,Villeray–Saint-Michel–Parc-Extension,294963.5,5043117.9,-73.625929,45.527909,-73.625929_45.527909,294963.5_5043117.9,10,1,199
600,2011-08-18,2011-08-16,1,2011-09-07,2011-09-07,13,Crémazie,Villeray–Saint-Michel–Parc-Extension,296044.9,5045315.6,-73.612123,45.547699,-73.612123_45.547699,296044.9_5045315.6,8,1,2
978,2011-10-03,2011-08-18,1,2011-08-18,2011-08-18,40,Snowdon,Côte-des-Neiges–Notre-Dame-de-Grâce,293994.6,5038625.4,-73.638234,45.487469,-73.638234_45.487469,293994.6_5038625.4,10,1,46
3228,2012-07-18,2012-07-12,2,2012-07-12,2012-08-09,67,Cecil-P.-Newman,LaSalle,294549.3,5031433.5,-73.630987,45.422761,-73.630987_45.422761,294549.3_5031433.5,7,1,6
359,2011-08-03,2011-08-03,1,2011-08-03,2011-08-03,67,Cecil-P.-Newman,LaSalle,294696,5032379.5,-73.629133,45.431276,-73.629133_45.431276000000004,294696.0_5032379.5,8,1,0
651,2011-08-26,2011-08-25,2,2011-08-26,2011-11-14,29,Préfontaine,Mercier–Hochelaga-Maisonneuve,301061.9,5044489.1,-73.547867,45.540307,-73.54786700000001_45.540307,301061.9_5044489.1,8,1,1
184,2011-07-14,2011-07-08,2,2011-07-12,2011-08-11,8,René-Goupil,Villeray–Saint-Michel–Parc-Extension,296371.6,5048226,-73.607989,45.573892,-73.607989_45.573892,296371.6_5048226.0,7,1,6
1626,2011-11-29,2011-11-29,1,2011-11-29,2011-11-29,27,Hochelaga,Mercier–Hochelaga-Maisonneuve,301596,5045274.7,-73.541032,45.547379,-73.541032_45.547379,301596.0_5045274.7,11,1,0
2605,2012-04-20,2011-09-08,1,2011-09-09,2011-09-09,35,Saint-Louis,Le Plateau-Mont-Royal,298550.8,5042214.9,-73.579992,45.519825,-73.579992_45.519825,298550.8_5042214.9,4,1,225
3055,2012-07-02,2012-07-02,1,2012-07-02,2012-07-02,60B,Centre-Nord,Montréal-Nord,294018,5051298.3,-73.638213,45.601505,-73.63821300000001_45.601504999999996,294018.0_5051298.3,7,1,0
3994,2012-09-28,2012-09-28,1,2012-10-29,2012-10-29,9,Gabriel-Sagard,Villeray–Saint-Michel–Parc-Extension,296075,5045852.3,-73.611748,45.552529,-73.61174799999999_45.552529,296075.0_5045852.3,9,1,0
529,2011-08-12,2011-07-21,1,2011-07-21,2011-07-21,28,Maisonneuve,Mercier–Hochelaga-Maisonneuve,301416.6,5046684.7,-73.543339,45.560065,-73.543339_45.560065,301416.6_5046684.7,8,1,22
1490,2011-11-19,2011-11-19,1,2012-05-23,2012-05-23,31,Lorimier,Le Plateau-Mont-Royal,298332.1,5044281.2,-73.582818,45.538416,-73.582818_45.538416,298332.1_5044281.2,11,1,0
1981,2012-01-11,2011-12-20,1,2012-01-10,2012-01-31,51,Petite-Bourgogne,Le Sud-Ouest,299446.5,5038849.6,-73.56849,45.489549,-73.56849_45.489549,299446.5_5038849.6,1,1,22
2415,2012-03-26,2012-03-08,4,2012-03-13,2012-04-10,49,Ville-Émard,Le Sud-Ouest,296734.1,5035033.6,-73.603128,45.455186,-73.603128_45.455186,296734.1_5035033.6,3,1,18
4212,2012-10-22,2012-08-04,1,2012-08-04,2012-08-04,15,Père-Marquette,Rosemont–La Petite-Patrie,297214.8,5044210.5,-73.597124,45.537769,-73.597124_45.537769,297214.8_5044210.5,10,1,79
4040,2012-10-05,2012-10-04,1,2012-11-01,2012-11-01,38,René-Lévesque,Ville-Marie,299931.1,5041898.9,-73.56232,45.516992,-73.56232_45.516992,299931.1_5041898.9,10,1,1
301,2011-07-29,2011-07-19,1,2011-08-16,2011-08-16,13,Crémazie,Villeray–Saint-Michel–Parc-Extension,295610.7,5045341.9,-73.617686,45.54793,-73.61768599999999_45.54793,295610.7_5045341.9,7,1,10
2004,2012-01-17,2012-01-11,1,2012-01-11,2012-01-11,23,Tétreaultville,Mercier–Hochelaga-Maisonneuve,302950.3,5052160.9,-73.523714,45.609348,-73.523714_45.609348,302950.3_5052160.9,1,1,6
2601,2012-04-20,2011-12-23,1,2011-12-23,2011-12-23,60C,Centre,Montréal-Nord,295198.6,5051242.6,-73.623079,45.60102,-73.623079_45.60102,295198.6_5051242.6,4,1,119
2877,2012-06-03,2012-04-27,1,2012-05-02,2012-05-02,28,Maisonneuve,Mercier–Hochelaga-Maisonneuve,301752.5,5046718.1,-73.539037,45.560368,-73.539037_45.560368,301752.5_5046718.1,6,1,37
3522,2012-08-13,2012-08-11,1,2012-08-11,2012-08-11,30,Sainte-Marie,Ville-Marie,300456.7,5042265.7,-73.555596,45.520297,-73.555596_45.520297,300456.7_5042265.7,8,1,2
1167,2011-10-16,2011-10-04,1,2011-10-04,2011-10-04,60C,Centre,Montréal-Nord,293811.9,5050900.9,-73.640846,45.597926,-73.640846_45.597926,293811.9_5050900.9,10,1,12
1294,2011-10-31,2011-10-17,1,2011-10-22,2011-10-22,18,Vieux-Rosemont,Rosemont–La Petite-Patrie,298193.6,5045388.1,-73.584607,45.548375,-73.58460699999999_45.548375,298193.6_5045388.1,10,1,14
2704,2012-05-02,2012-02-15,4,2012-02-23,2012-04-30,15,Père-Marquette,Rosemont–La Petite-Patrie,296897.5,5044854.2,-73.601198,45.543557,-73.601198_45.543557,296897.5_5044854.2,5,1,77
3531,2012-08-14,2012-08-07,1,2012-08-07,2012-08-15,21,Louis-Riel,Mercier–Hochelaga-Maisonneuve,301127.7,5050437.5,-73.547068,45.593833,-73.54706800000001_45.593833000000004,301127.7_5050437.5,8,1,7
665,2011-08-26,2011-08-26,3,2011-08-26,2011-10-11,30,Sainte-Marie,Ville-Marie,300466.9,5042151.1,-73.555465,45.519265,-73.555465_45.519265000000004,300466.9_5042151.1,8,1,0
993,2011-10-04,2011-09-01,1,2011-09-03,2011-09-03,28,Maisonneuve,Mercier–Hochelaga-Maisonneuve,302029.9,5045646.1,-73.535478,45.550723,-73.535478_45.550723,302029.9_5045646.1,10,1,33
3515,2012-08-12,2012-07-21,2,2012-07-21,2012-08-11,20,Marie-Victorin,Rosemont–La Petite-Patrie,298362.6,5047231.9,-73.582467,45.564968,-73.58246700000001_45.564968,298362.6_5047231.9,8,1,22
5361,2013-02-20,2013-01-29,1,2013-01-29,2013-01-29,51,Petite-Bourgogne,Le Sud-Ouest,299055.5,5038502.1,-73.573488,45.486419,-73.573488_45.486419,299055.5_5038502.1,2,1,22
5307,2013-02-20,2013-02-11,4,2013-02-25,2014-02-24,33,Parc-Laurier,Le Plateau-Mont-Royal,298110.7,5043057.7,-73.585636,45.527404,-73.585636_45.527404,298110.7_5043057.7,2,1,9
8910,2013-10-01,2013-08-15,1,2013-08-20,2013-08-20,40,Snowdon,Côte-des-Neiges–Notre-Dame-de-Grâce,294783.2,5037749.3,-73.628128,45.479597,-73.628128_45.479597,294783.2_5037749.3,10,1,47
